config_from,config_to,hamming_dist
115332,691335,9
115332,697218,8
115332,698242,9
115332,705024,5
115332,721920,8
115332,738178,6
115332,738182,5
115332,753666,7
115332,754432,6
115332,754434,7
115332,754688,7
115332,754690,8
115332,755586,7
115332,755590,6
115332,756738,9
115332,756742,8
115332,757634,8
115332,757638,7
115332,762370,7
115332,763394,8
115332,765574,7
115332,765824,8
115332,765826,9
115332,765828,7
115332,765830,8
115332,769574,10
115332,769670,8
115332,769702,9
115332,769920,9
115332,769922,10
115332,769924,8
115332,769926,9
115332,769927,10
115332,769958,10
115332,770048,5
115332,770560,4
115332,770816,5
115332,770944,4
115332,770946,5
115332,771968,5
115332,773638,6
115332,774018,7
115332,774022,6
115332,777734,7
115332,778752,5
115332,778754,6
115332,778887,5
115332,779142,5
115332,779778,7
115332,779910,5
115332,779911,6
115332,780034,8
115332,780166,6
115332,780800,6
115332,780806,6
115332,780928,5
115332,781190,6
115332,781191,7
115332,781830,7
115332,781958,6
115332,782210,8
115332,782214,7
115332,782246,8
115332,785287,8
115332,786310,8
115332,786342,9
115332,820224,8
115332,820738,8
115332,820742,7
115332,821127,8
115332,844294,6
115332,844674,7
115332,853506,8
115332,853507,9
115332,853511,8
115332,862080,8
115332,884736,6
115332,885248,5
115332,885254,5
115332,885636,4
115332,885638,5
115332,885760,7
115332,886272,6
115332,886274,7
115332,886276,5
115332,886278,6
115332,886400,5
115332,886402,6
115332,886406,5
115332,886530,8
115332,886532,6
115332,886534,7
115332,886656,6
115332,886658,7
115332,886660,5
115332,886661,6
115332,886662,6
115332,888704,7
115332,888706,8
115332,892928,7
115332,893440,6
115332,893442,7
115332,893568,5
115332,893574,5
115332,893824,6
115332,893826,7
115332,893830,6
115332,893831,7
115332,894464,7
115332,894466,8
115332,894468,6
115332,894470,7
115332,894592,6
115332,894596,5
115332,894598,6
115332,894848,7
115332,894850,8
115332,894851,9
115332,894854,7
115332,894855,8
115332,896896,8
115332,896898,9
115332,896900,7
115332,896902,8
115332,901120,5
115332,901632,4
115332,901636,3
115332,901760,3
115332,901764,2
115332,901766,3
115332,902016,4
115332,902018,5
115332,902020,3
115332,902022,4
115332,902656,5
115332,902660,4
115332,902784,4
115332,902790,4
115332,902916,5
115332,903040,5
115332,903042,6
115332,903044,4
115332,903045,5
115332,903046,5
115332,905092,5
115332,909312,6
115332,909316,5
115332,909824,5
115332,909826,6
115332,909828,4
115332,909830,5
115332,909952,4
115332,909954,5
115332,910208,5
115332,910210,6
115332,910212,4
115332,910214,5
115332,910848,6
115332,910854,6
115332,910976,5
115332,910978,6
115332,910982,5
115332,911110,7
115332,911232,6
115332,911234,7
115332,911238,6
115332,912256,6
115332,912262,6
115332,912896,7
115332,912898,8
115332,912902,7
115332,913286,7
115332,916994,9
115332,917122,8
115332,918406,8
115332,919303,11
115332,919430,9
115332,919431,10
115332,934790,7
115332,950207,15
115332,950271,16
115332,951174,7
115332,951175,8
115332,951298,10
115332,951299,11
115332,951810,9
115332,952194,9
115332,952195,10
115332,952199,9
115332,953347,12
115332,953479,10
115332,967558,6
115332,975366,7
115332,983556,6
115332,984064,9
115332,984576,8
115332,984583,9
115332,984839,10
115332,1011462,10
115332,1015743,14
115332,1016324,5
115332,1016326,6
115332,1016710,6
115332,1016711,7
115332,1016832,8
115332,1016967,8
115332,1017344,7
115332,1017348,6
115332,1017472,6
115332,1017606,8
115332,1017730,8
115332,1017732,6
115332,1017734,7
115332,1017735,8
115332,1017736,8
115332,1019015,9
115332,1019782,8
115332,1024000,8
115332,1024640,6
115332,1024642,7
115332,1024646,6
115332,1024896,7
115332,1024897,8
115332,1024898,8
115332,1024902,7
115332,1025538,9
115332,1025540,7
115332,1025542,8
115332,1025668,6
115332,1025669,7
115332,1025670,7
115332,1025671,8
115332,1025794,10
115332,1025798,9
115332,1025920,8
115332,1025922,9
115332,1025923,10
115332,1025924,7
115332,1025926,8
115332,1025927,9
115332,1027968,9
115332,1027970,10
115332,1027974,9
115332,1030018,10
115332,1032066,11
115332,1032068,9
115332,1032070,10
115332,1032071,11
115332,1032704,5
115332,1032710,5
115332,1032838,4
115332,1033092,4
115332,1033094,5
115332,1033095,6
115332,1033351,7
115332,1033732,5
115332,1033734,6
115332,1034112,6
115332,1034116,5
115332,1034118,6
115332,1036166,7
115332,1040384,7
115332,1040512,6
115332,1040513,7
115332,1040768,7
115332,1040896,6
115332,1040898,7
115332,1040899,8
115332,1040902,6
115332,1040903,7
115332,1041024,5
115332,1041152,7
115332,1041154,8
115332,1041158,7
115332,1041280,6
